Date,Created_at
83/09/05,2019-09-20 23:46:42.918175
83/09/06,2019-09-20 23:46:42.922874
83/09/07,2019-09-20 23:46:42.930208
83/09/08,2019-09-20 23:46:42.936231
83/09/09,2019-09-20 23:46:42.940320
83/09/10,2019-09-20 23:46:42.944173
83/09/12,2019-09-20 23:46:42.947211
83/09/13,2019-09-20 23:46:42.950897
83/09/14,2019-09-20 23:46:42.958859
83/09/15,2019-09-20 23:46:42.963615
83/09/16,2019-09-20 23:46:43.019124
83/09/17,2019-09-20 23:46:43.022078
83/09/21,2019-09-20 23:46:43.024764
83/09/22,2019-09-20 23:46:43.027819
83/09/23,2019-09-20 23:46:43.031303
83/09/24,2019-09-20 23:46:43.034749
83/09/26,2019-09-20 23:46:43.038033
83/09/27,2019-09-20 23:46:43.041454
83/09/29,2019-09-20 23:46:43.044356
83/09/30,2019-09-20 23:46:43.050244
83/10/01,2019-09-20 23:46:43.054495
83/10/03,2019-09-20 23:46:43.057767
83/10/04,2019-09-20 23:46:43.062293
83/10/05,2019-09-20 23:46:43.065875
83/10/06,2019-09-20 23:46:43.069859
83/10/07,2019-09-20 23:46:43.076269
83/10/08,2019-09-20 23:46:43.083014
83/10/11,2019-09-20 23:46:43.086476
83/10/12,2019-09-20 23:46:43.090088
83/10/13,2019-09-20 23:46:43.094601
83/10/14,2019-09-20 23:46:43.097871
83/10/15,2019-09-20 23:46:43.101443
83/10/17,2019-09-20 23:46:43.107769
83/10/18,2019-09-20 23:46:43.113852
83/10/19,2019-09-20 23:46:43.119005
83/10/20,2019-09-20 23:46:43.123822
83/10/21,2019-09-20 23:46:43.127312
83/10/22,2019-09-20 23:46:43.134659
83/10/24,2019-09-20 23:46:43.138317
83/10/26,2019-09-20 23:46:43.141540
83/10/27,2019-09-20 23:46:43.144774
83/10/28,2019-09-20 23:46:43.148177
83/10/29,2019-09-20 23:46:43.151546
83/11/01,2019-09-20 23:46:43.158075
83/11/02,2019-09-20 23:46:43.185467
83/11/03,2019-09-20 23:46:43.189250
83/11/04,2019-09-20 23:46:43.194338
83/11/05,2019-09-20 23:46:43.199462
83/11/07,2019-09-20 23:46:43.202306
83/11/08,2019-09-20 23:46:43.206392
83/11/09,2019-09-20 23:46:43.213364
83/11/10,2019-09-20 23:46:43.218504
83/11/11,2019-09-20 23:46:43.224806
83/11/14,2019-09-20 23:46:43.231560
83/11/15,2019-09-20 23:46:43.238463
83/11/16,2019-09-20 23:46:43.249260
83/11/17,2019-09-20 23:46:43.252274
83/11/18,2019-09-20 23:46:43.257393
83/11/19,2019-09-20 23:46:43.261112
83/11/21,2019-09-20 23:46:43.267663
83/11/22,2019-09-20 23:46:43.276549
83/11/23,2019-09-20 23:46:43.281181
83/11/24,2019-09-20 23:46:43.285669
83/11/25,2019-09-20 23:46:43.295309
83/11/26,2019-09-20 23:46:43.299620
83/11/28,2019-09-20 23:46:43.304444
83/11/29,2019-09-20 23:46:43.306735
83/11/30,2019-09-20 23:46:43.310689
83/12/01,2019-09-20 23:46:43.314872
83/12/02,2019-09-20 23:46:43.318550
83/12/05,2019-09-20 23:46:43.323572
83/12/06,2019-09-20 23:46:43.340035
83/12/07,2019-09-20 23:46:43.351814
83/12/08,2019-09-20 23:46:43.358097
83/12/09,2019-09-20 23:46:43.399610
83/12/10,2019-09-20 23:46:43.411984
83/12/12,2019-09-20 23:46:43.424409
83/12/13,2019-09-20 23:46:43.435901
83/12/14,2019-09-20 23:46:43.448690
83/12/15,2019-09-20 23:46:43.460581
83/12/16,2019-09-20 23:46:43.473574
83/12/17,2019-09-20 23:46:43.477369
83/12/19,2019-09-20 23:46:43.487210
83/12/20,2019-09-20 23:46:43.500071
83/12/21,2019-09-20 23:46:43.524537
83/12/22,2019-09-20 23:46:43.528461
83/12/23,2019-09-20 23:46:43.551508
83/12/24,2019-09-20 23:46:43.555290
83/12/27,2019-09-20 23:46:43.558750
83/12/28,2019-09-20 23:46:43.562048
83/12/29,2019-09-20 23:46:43.566507
83/12/30,2019-09-20 23:46:43.570153
83/12/31,2019-09-20 23:46:43.574914
84/01/05,2019-09-20 23:46:43.579026
84/01/06,2019-09-20 23:46:43.583249
84/01/07,2019-09-20 23:46:43.587484
84/01/09,2019-09-20 23:46:43.590909
84/01/10,2019-09-20 23:46:43.595854
84/01/11,2019-09-20 23:46:43.602666
84/01/12,2019-09-20 23:46:43.613852
84/01/13,2019-09-20 23:46:43.625344
84/01/14,2019-09-20 23:46:43.638503
84/01/16,2019-09-20 23:46:43.646268
84/01/17,2019-09-20 23:46:43.654041
84/01/18,2019-09-20 23:46:43.666443
84/01/19,2019-09-20 23:46:43.673751
84/01/20,2019-09-20 23:46:43.679537
84/01/21,2019-09-20 23:46:43.691767
84/01/23,2019-09-20 23:46:43.698560
84/01/24,2019-09-20 23:46:43.705152
84/01/25,2019-09-20 23:46:43.711732
84/01/26,2019-09-20 23:46:43.719455
84/02/04,2019-09-20 23:46:43.733121
84/02/06,2019-09-20 23:46:43.749586
84/02/07,2019-09-20 23:46:43.771191
84/02/08,2019-09-20 23:46:43.774087
84/02/09,2019-09-20 23:46:43.776921
84/02/10,2019-09-20 23:46:43.781226
84/02/11,2019-09-20 23:46:43.786584
84/02/13,2019-09-20 23:46:43.791211
84/02/14,2019-09-20 23:46:43.794893
84/02/15,2019-09-20 23:46:43.798292
84/02/16,2019-09-20 23:46:43.806430
84/02/17,2019-09-20 23:46:43.812127
84/02/18,2019-09-20 23:46:43.818138
84/02/20,2019-09-20 23:46:43.824538
84/02/21,2019-09-20 23:46:43.844569
84/02/22,2019-09-20 23:46:43.854548
84/02/23,2019-09-20 23:46:43.862058
84/02/24,2019-09-20 23:46:43.866948
84/02/25,2019-09-20 23:46:43.872584
84/02/27,2019-09-20 23:46:43.875017
84/02/28,2019-09-20 23:46:43.877089
84/03/01,2019-09-20 23:46:43.880330
84/03/02,2019-09-20 23:46:43.884158
84/03/03,2019-09-20 23:46:43.886610
84/03/04,2019-09-20 23:46:43.892323
84/03/06,2019-09-20 23:46:43.896239
84/03/07,2019-09-20 23:46:43.899360
84/03/08,2019-09-20 23:46:43.904442
84/03/09,2019-09-20 23:46:43.908081
84/03/10,2019-09-20 23:46:43.911839
84/03/11,2019-09-20 23:46:43.918087
84/03/13,2019-09-20 23:46:43.923835
84/03/14,2019-09-20 23:46:43.931227
84/03/15,2019-09-20 23:46:43.937218
84/03/16,2019-09-20 23:46:43.941294
84/03/17,2019-09-20 23:46:43.945124
84/03/18,2019-09-20 23:46:43.950072
84/03/20,2019-09-20 23:46:43.986589
84/03/21,2019-09-20 23:46:43.993331
84/03/22,2019-09-20 23:46:44.089053
84/03/23,2019-09-20 23:46:44.145563
84/03/24,2019-09-20 23:46:44.152969
84/03/25,2019-09-20 23:46:44.160176
84/03/27,2019-09-20 23:46:44.168550
84/03/28,2019-09-20 23:46:44.176721
84/03/30,2019-09-20 23:46:44.180691
84/03/31,2019-09-20 23:46:44.189719
84/04/01,2019-09-20 23:46:44.194108
84/04/06,2019-09-20 23:46:44.201339
84/04/07,2019-09-20 23:46:44.209657
84/04/08,2019-09-20 23:46:44.214071
84/04/10,2019-09-20 23:46:44.217652
84/04/11,2019-09-20 23:46:44.223747
84/04/12,2019-09-20 23:46:44.229463
84/04/13,2019-09-20 23:46:44.233879
84/04/14,2019-09-20 23:46:44.239665
84/04/15,2019-09-20 23:46:44.250825
84/04/17,2019-09-20 23:46:44.254668
84/04/18,2019-09-20 23:46:44.258573
84/04/19,2019-09-20 23:46:44.268185
84/04/20,2019-09-20 23:46:44.274429
84/04/21,2019-09-20 23:46:44.279363
84/04/22,2019-09-20 23:46:44.286307
84/04/24,2019-09-20 23:46:44.291932
84/04/25,2019-09-20 23:46:44.295265
84/04/26,2019-09-20 23:46:44.300158
84/04/27,2019-09-20 23:46:44.306131
84/04/28,2019-09-20 23:46:44.317599
84/04/29,2019-09-20 23:46:44.323180
84/05/01,2019-09-20 23:46:44.326514
84/05/02,2019-09-20 23:46:44.340753
84/05/03,2019-09-20 23:46:44.346562
84/05/04,2019-09-20 23:46:44.369381
84/05/05,2019-09-20 23:46:44.375143
84/05/06,2019-09-20 23:46:44.378497
84/05/08,2019-09-20 23:46:44.381848
84/05/09,2019-09-20 23:46:44.386416
84/05/10,2019-09-20 23:46:44.390516
84/05/11,2019-09-20 23:46:44.395235
84/05/12,2019-09-20 23:46:44.399320
84/05/13,2019-09-20 23:46:44.402946
84/05/15,2019-09-20 23:46:44.407423
84/05/16,2019-09-20 23:46:44.410364
84/05/17,2019-09-20 23:46:44.415594
84/05/18,2019-09-20 23:46:44.419158
84/05/19,2019-09-20 23:46:44.423941
84/05/20,2019-09-20 23:46:44.426897
