公司代號,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,貼現及放款－淨額,備供出售金融資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值,流動資產,非流動資產,資產合計,流動負債,非流動負債,負債合計,保留盈餘（或累積虧損）,歸屬於母公司業主權益合計,權益合計,母公司暨子公司持有之母公司庫藏股股數（單位：股）,存放央行及拆借金融同業,避險之衍生金融資產,附賣回票券及債券投資,再保險合約資產－淨額,投資性不動產－淨額,央行及金融同業存款,避險之衍生金融負債,應付商業本票－淨額,應付債券,其他借款,歸屬於母公司業主之權益,應收款項,待出售資產,投資,再保險合約資產,不動產及設備,無形資產,其他資產,分離帳戶保險商品資產,短期債務,以成本衡量之金融負債,保險負債,具金融商品性質之保險契約準備,外匯價格變動準備,分離帳戶保險商品負債,庫藏股,年份,季度,公司名稱,待註銷股本股數（單位：股）
2801,38492895.0,102997033.0,37696858.0,94314.0,,14258585.0,526761.0,,1126033491.0,52551730.0,186764462.0,,,13256082.0,24109822.0,10823891.0,84918.0,4189333.0,2027670.0,1613907845.0,101513903.0,,2548646.0,,6228731.0,31768473.0,276951.0,,1312604835.0,38441365.0,,,1804066.0,3614090.0,6216070.0,1728113.0,1506745243.0,72421114,,34772737.0,-31249.0,,107162602.0,,,0.0,107162602.0,0.0,0,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,彰化銀行,
2809,4973158.0,41739321.0,2399487.0,,3183110.0,885823.0,,,99239403.0,15997978.0,6104305.0,,,20046628.0,2781023.0,,,432852.0,358367.0,198141455.0,9973369.0,4033125.0,10710.0,,16784338.0,2215718.0,532771.0,,141221128.0,0.0,,,3541.0,512646.0,82026.0,259021.0,175628393.0,12012343,178746.0,9481809.0,840164.0,0.0,22513062.0,,,0.0,22513062.0,0.0,0,18.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,京城銀行,
2812,9582076.0,67404556.0,12781026.0,0.0,4363781.0,4548945.0,57466.0,0.0,324668418.0,19228078.0,8027954.0,132993.0,99004.0,1132063.0,3444870.0,0.0,83658.0,340195.0,1095897.0,456990980.0,5849839.0,3751408.0,59925.0,0.0,482833.0,8574617.0,398910.0,0.0,394948794.0,13557060.0,0.0,0.0,14555.0,252133.0,111021.0,293307.0,428294402.0,23187442,675537.0,4746970.0,86629.0,0.0,28696578.0,,,0.0,28696578.0,0.0,0,12.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,台中銀行,
2820,251310.0,0.0,92708149.0,,3001026.0,1547652.0,0.0,,,73956006.0,6253328.0,,,505126.0,165297.0,,,107944.0,920399.0,179416237.0,11390788.0,,8388.0,,144569578.0,539056.0,117403.0,,,,,,,1268055.0,4199.0,53019.0,157950486.0,13429600,2474.0,7618119.0,415558.0,,,,,,21465751.0,0.0,0,15.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,華票,
2834,28386593.0,71916035.0,9321714.0,,6174934.0,14151463.0,615706.0,,953569238.0,12267138.0,179655362.0,,,3546554.0,14388025.0,,194479.0,1973307.0,1886904.0,1298047452.0,90753087.0,,234772.0,,9622035.0,30965950.0,,,1047579149.0,48900000.0,,,11114035.0,2845429.0,880781.0,711659.0,1243606897.0,48982194,0.0,5540985.0,-82624.0,0.0,54440555.0,,,0.0,54440555.0,0.0,0,11.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,臺灣企銀,
2836,3114391.0,23492696.0,1024102.0,,2855036.0,1131803.0,35139.0,,164242059.0,18952049.0,0.0,,,1615974.0,2752635.0,,49204.0,127475.0,78981.0,219471544.0,14164887.0,,2911.0,,67743.0,3681461.0,12456.0,,185836832.0,4000000.0,,,149954.0,762317.0,,199536.0,208878097.0,7069476,2017724.0,1464380.0,41867.0,0.0,10593447.0,,,0.0,10593447.0,0.0,0,14.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高銀,
2838,9367275.0,73501977.0,10534114.0,,11427060.0,13957298.0,124303.0,,212324019.0,9097953.0,1008124.0,54304.0,,54155457.0,7720825.0,2788483.0,2084091.0,3302045.0,6533030.0,417980358.0,6323913.0,,84700.0,,24942027.0,6994308.0,55492.0,,343407692.0,5200000.0,,,1280249.0,796212.0,488552.0,2248377.0,391821522.0,20264396,32413.0,5268024.0,352111.0,,25916944.0,,,241892.0,26158836.0,0.0,0,12.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,聯邦銀行,
2845,6371556.0,74135951.0,16572736.0,155165.0,21401374.0,18992254.0,,,294344680.0,11083079.0,2122081.0,2386971.0,,12861386.0,2850477.0,,1858762.0,825498.0,243166.0,466205136.0,24883359.0,,4629395.0,5870.0,,7067855.0,115634.0,,374474563.0,25078247.0,,,1486268.0,710733.0,,411749.0,438863673.0,22422596,22348.0,5064757.0,-168238.0,,27341463.0,,,,27341463.0,0.0,0,12.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,遠東商銀,
2849,3779148.0,73195614.0,13092210.0,,3006238.0,6349653.0,184523.0,19472.0,209436472.0,59390348.0,,,,553272.0,927820.0,,254247.0,3930210.0,1092536.0,375211763.0,2091624.0,,10431973.0,,1126302.0,6965058.0,164803.0,,316867801.0,11190000.0,,1414865.0,516876.0,481581.0,14325.0,145769.0,351410977.0,16796775,1461505.0,5823215.0,-280709.0,0.0,23800786.0,,,0.0,23800786.0,0.0,0,14.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安泰銀行,
2855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13231191,256116.0,,-27952.0,0.0,,,,,,,0,16.61,47730544.0,4820053.0,52550597.0,30523036.0,16591.0,30539627.0,8511399.0,21970754.0,22010970.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,統一證券,
6005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23690730,2705473.0,,-22138.0,0.0,,,,,,,0,12.32,53782022.0,14957005.0,68739027.0,36008849.0,2771364.0,38780213.0,2820778.0,29194843.0,29958814.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,群益證,
6024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,922469,107625.0,,8041.0,0.0,,,,,,,0,21.02,10572488.0,458552.0,11031040.0,9090355.0,1703.0,9092058.0,900847.0,1938982.0,1938982.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,群益期,
1101,,,,,,,,,,,,,,,,,,,,272835233.0,,,,,,,,,,,,,,,,,127469535.0,36921759,12215684.0,45521147.0,13214330.0,,107872920.0,,,37492778.0,145365698.0,0.0,0,29.22,77246355.0,195588878.0,,65913019.0,61556516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,台泥,
1102,,,,,,,,,,,,,,,,,,,,205656837.0,,,,,,,,,,,,,,,,,101404838.0,32309181,1034446.0,47173926.0,6469871.0,,86987424.0,,,17264575.0,104251999.0,0.0,0,26.92,57789464.0,147867373.0,,54557931.0,46846907.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,亞泥,
1103,,,,,,,,,,,,,,,,,,,,28976954.0,,,,,,,,,,,,,,,,,12580964.0,7768285,444825.0,8044970.0,-997405.0,-1153409.0,14107266.0,,,2288724.0,16395990.0,132150185.0,0,21.88,12221392.0,16755562.0,,2958234.0,9622730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,嘉泥,
