公司代號,營業收入(百萬元),毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入),年份,季度,公司名稱
1101,24114.05,12.95,8.4,9.71,8.29,102,1,台泥
1102,13931.55,6.4,2.44,11.41,9.84,102,1,亞泥
1103,741.19,-6.06,-20.21,4.56,8.05,102,1,嘉泥
1104,1248.07,9.78,2.42,14.92,14.7,102,1,環球水泥
1108,1203.67,12.61,8.16,7.03,5.31,102,1,幸福水泥
1109,916.24,13.78,3.92,4.76,3.83,102,1,信大水泥
1110,460.23,14.47,11.25,12.93,13.28,102,1,東泥
1201,6700.85,32.45,5.62,5.25,3.69,102,1,味全公司
1203,1643.33,20.57,8.07,8.61,7.31,102,1,味王公司
1210,21357.13,9.08,1.17,1.58,1.36,102,1,大成長城
1213,174.68,17.03,6.68,6.42,5.1,102,1,大飲
1215,4380.23,8.68,2.24,2.04,1.57,102,1,卜蜂企業
1216,104634.79,31.35,5.5,6.67,5.49,102,1,統一
1217,886.49,31.5,-1.38,3.05,1.44,102,1,愛之味
1218,2371.39,11.84,-0.35,-0.03,-0.04,102,1,泰山企業
1219,2342.16,4.21,-1.72,-1.48,-1.48,102,1,福壽實業
1220,810.34,10.3,3.16,4.04,3.95,102,1,台榮
1225,3388.53,4.64,1.12,0.9,0.72,102,1,福懋油
1227,5076.33,31.17,14.76,16.59,13.78,102,1,佳格
1229,1254.0,10.53,3.03,18.52,18.31,102,1,聯華實業
1231,1482.5,27.31,7.91,9.05,7.52,102,1,聯華食品
1232,4882.49,6.82,4.31,5.32,4.35,102,1,大統益
1233,532.76,61.03,14.82,15.57,12.89,102,1,天仁
1234,1574.86,24.39,0.3,8.12,6.52,102,1,黑松
1235,58.08,1.21,-12.4,-55.59,-59.98,102,1,興泰
1236,726.31,29.35,10.19,10.28,8.65,102,1,宏亞食品
1256,341.58,29.2,16.97,19.03,13.4,102,1,鮮活果汁-KY
1301,50044.54,6.19,1.08,11.28,10.99,102,1,台塑
1303,74265.11,11.17,5.56,11.05,9.34,102,1,南亞塑膠
1304,12701.4,9.17,3.19,5.54,4.96,102,1,台聚
1305,3201.92,18.74,10.82,12.95,11.01,102,1,華夏
1307,2605.64,23.81,9.75,11.72,8.46,102,1,三芳化工
1308,1227.23,8.08,4.03,11.61,10.65,102,1,亞聚
1309,4389.76,3.09,-0.41,0.98,1.19,102,1,台達化工
1310,4958.71,3.43,1.07,0.56,0.52,102,1,台苯
1312,5981.4,8.38,3.61,4.37,3.64,102,1,國喬石化
1313,11397.75,3.32,0.02,1.61,1.48,102,1,聯成
1314,9074.55,-1.42,-4.58,-2.85,-2.84,102,1,中石化
1315,700.17,17.15,-1.16,0.41,0.68,102,1,達新工業
1316,342.81,25.71,-7.63,-7.81,-8.28,102,1,上曜
1319,4617.09,22.47,7.24,8.61,7.25,102,1,東陽
1321,1228.6,6.6,-0.63,0.11,0.11,102,1,大洋
1323,777.65,23.84,11.12,11.17,8.46,102,1,永裕
1324,386.51,14.15,1.78,4.32,3.64,102,1,地球工業
1325,268.17,15.26,9.04,11.1,9.38,102,1,恒大
1326,105123.05,9.09,6.07,8.94,8.12,102,1,台化
1337,958.88,38.77,29.56,31.88,24.0,102,1,再生-KY
1338,1430.57,21.16,3.32,4.69,3.57,102,1,廣華-KY
1339,314.76,35.51,19.66,26.88,22.31,102,1,昭輝
1402,57620.49,18.98,5.48,7.15,6.19,102,1,遠東新
1410,138.78,25.92,12.42,14.68,14.07,102,1,南染
1413,1128.66,-3.71,-6.26,-6.29,-6.34,102,1,宏洲纖維
1414,308.41,13.03,8.13,10.49,10.49,102,1,東和
1416,37.72,77.15,-43.25,-26.23,-26.24,102,1,廣豐
1417,830.91,25.28,-4.61,-0.32,-1.19,102,1,嘉裕
1418,473.88,1.33,-6.99,-5.12,-5.26,102,1,東華
1419,223.16,23.32,-4.57,-5.24,-5.79,102,1,新紡
1423,232.65,11.73,7.84,7.02,9.1,102,1,利華羊毛
1432,117.9,6.95,-52.06,-49.45,-49.45,102,1,大魯閣實業
1434,11703.21,9.89,4.78,5.37,4.49,102,1,福懋興業
1435,5.87,82.19,-29.98,-20.78,-20.78,102,1,中福國際
1436,0.6,35.1,-1423.84,-517.05,-517.05,102,1,華友聯
1437,326.32,0.99,-6.81,-11.33,-11.63,102,1,勤益投控
1438,8.85,68.55,33.94,42.22,38.12,102,1,裕豐
1439,128.88,1.85,-2.56,2.39,2.05,102,1,中和羊毛
1440,5107.41,12.87,6.63,8.46,6.5,102,1,南紡
1441,325.83,8.42,-1.92,1.74,1.79,102,1,大東紡織
1442,974.12,41.39,34.68,34.84,32.69,102,1,名軒
1443,391.22,11.25,-1.7,-2.11,-2.11,102,1,立益紡織
1444,2816.75,5.86,1.93,6.99,7.1,102,1,力麗
1445,456.74,7.65,0.85,4.09,3.84,102,1,大宇紡織
1446,204.21,25.1,6.33,7.75,6.03,102,1,宏和
1447,6799.61,7.28,4.87,6.09,5.1,102,1,力鵬
1449,788.66,2.64,-10.46,-7.35,-7.35,102,1,佳和實業
1451,3164.67,10.6,4.33,5.72,4.7,102,1,年興紡織
1452,543.44,9.07,5.5,6.47,5.39,102,1,宏益
1453,44.64,12.65,-3.86,-1.88,-4.63,102,1,大將
1454,491.9,5.81,-0.29,0.5,0.42,102,1,台富
1455,4000.95,6.62,4.08,4.8,4.03,102,1,集盛
1456,203.19,8.43,1.22,-9.12,-6.9,102,1,怡華
1457,967.1,4.34,0.38,0.26,0.26,102,1,宜進
1459,897.47,3.61,-0.67,-0.95,-1.24,102,1,聯發紡織
1460,1738.22,13.89,0.95,4.32,4.32,102,1,宏遠
1463,199.47,9.07,-6.41,-0.34,-0.34,102,1,強盛染整
1464,978.91,12.18,-0.69,0.49,0.05,102,1,得力實業
1465,533.26,11.27,1.61,2.86,2.42,102,1,偉全實業
1466,1289.24,8.06,1.54,1.9,1.57,102,1,聚隆
1467,1678.24,19.01,2.46,3.69,2.51,102,1,南緯實業
1468,203.28,2.7,-16.27,-10.96,-10.96,102,1,昶和纖維
1470,163.82,15.03,4.34,5.35,4.44,102,1,大統新創
1471,1483.65,3.23,-3.51,-1.0,-1.1,102,1,首利
1472,205.62,-3.04,-17.79,-17.67,-17.67,102,1,三洋紡
1473,2784.71,27.7,4.05,5.1,3.12,102,1,台南企業
1474,943.83,5.98,0.1,1.14,0.73,102,1,弘裕
1475,53.0,-21.9,-49.71,-47.02,-46.96,102,1,本盟光電
1476,3673.27,28.33,17.75,19.24,16.1,102,1,儒鴻
1477,4297.62,20.83,9.99,10.49,8.99,102,1,聚陽實業
1503,4269.68,21.46,7.86,8.65,6.7,102,1,士電
1504,13265.37,23.87,8.68,9.24,6.53,102,1,東元電機
1506,347.34,7.07,-7.87,-6.81,-6.81,102,1,正道
1507,4135.4,26.28,10.62,11.21,8.17,102,1,永大機電
1512,795.86,13.93,-1.97,-1.95,-3.04,102,1,瑞利
1513,2206.39,16.76,3.76,5.67,4.96,102,1,中興電
1514,980.72,11.7,2.53,3.22,2.96,102,1,亞力電機
1515,669.73,20.5,0.91,1.99,1.64,102,1,力山
1516,31.66,10.75,3.24,3.25,3.25,102,1,川飛
1517,919.27,14.85,5.62,9.36,6.86,102,1,利奇機械
1519,909.14,14.89,-0.54,1.76,1.39,102,1,華城電機
1521,959.8,13.79,3.59,6.83,5.67,102,1,大億
1522,3847.45,17.29,2.45,3.94,3.3,102,1,堤維西
1524,599.93,10.97,-0.68,0.63,0.64,102,1,耿鼎企業
1525,243.0,6.43,-2.4,22.62,20.16,102,1,江申工業
1526,168.47,20.19,6.07,5.53,5.55,102,1,日馳
1527,542.53,21.61,7.43,43.89,36.43,102,1,鑽全
1528,686.06,23.05,0.31,4.36,3.15,102,1,恩德
1529,17.2,14.41,-37.19,-38.21,-38.21,102,1,樂士
1530,656.09,20.78,6.63,12.85,10.9,102,1,亞崴機電
1531,814.39,22.07,9.24,19.17,11.47,102,1,高林股
1532,3021.74,21.63,9.27,12.39,11.1,102,1,勤美
1533,493.07,33.53,4.02,9.81,7.22,102,1,車王電
1535,2725.94,10.9,6.44,8.04,6.5,102,1,中宇
1536,876.29,26.35,12.77,14.01,12.49,102,1,和大工業
1537,1349.63,22.16,14.97,17.11,13.67,102,1,廣隆光電
1538,160.88,13.34,-39.6,-53.52,-53.52,102,1,正峰新
1539,438.78,10.75,4.35,8.27,6.71,102,1,巨庭機械
1540,189.98,22.48,9.62,20.54,17.29,102,1,喬福機械
1541,375.03,14.88,-3.54,-0.8,-1.7,102,1,錩泰
1558,1117.9,22.68,12.53,15.89,12.86,102,1,伸興
1560,981.92,26.06,14.36,14.48,11.97,102,1,中砂
1582,1955.55,22.55,10.66,10.77,6.67,102,1,信錦
1583,1265.92,26.64,8.83,14.56,11.65,102,1,程泰
1589,1169.19,25.29,11.52,9.62,7.23,102,1,永冠-KY
