公司代號,利息淨收益,利息以外淨損益,呆帳費用及保證責任準備提存（各項提存）,營業費用,繼續營業單位稅前淨利（淨損）,所得稅（費用）利益,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,所得稅利益（費用）,繼續營業單位本期淨利（淨損）,本期淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於共同控制下前手權益,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,所得稅費用（利益）,其他綜合損益（淨額）,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,繼續營業單位稅前損益,繼續營業單位稅前純益（純損）,繼續營業單位本期純益（純損）,其他綜合損益（稅後淨額）,收入,支出,其他綜合損益,年份,季度,公司名稱
2801,4108099.0,1547351.0,-474157.0,3305437.0,2824170.0,-474951.0,2349219.0,,,2349219.0,-76563.0,,2272656.0,2349219.0,,0.0,2272656.0,,0.0,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,彰化銀行
2809,1006852.0,820743.0,285760.0,361706.0,1180129.0,-107728.0,1072401.0,,,1072401.0,-67379.0,,1005022.0,1072401.0,,,1005022.0,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,京城銀行
2812,1457578.0,718553.0,282075.0,989865.0,904191.0,-110219.0,793972.0,0.0,,793972.0,-5713.0,,788259.0,793972.0,,,788259.0,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,台中銀行
2820,204588.0,167592.0,-649909.0,124907.0,897182.0,-153427.0,743755.0,,,743755.0,-68815.0,,674940.0,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,華票
2834,3248316.0,979353.0,803615.0,2606376.0,817678.0,-89186.0,728492.0,,,728492.0,67318.0,,795810.0,728492.0,,0.0,795810.0,,0.0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,臺灣企銀
2836,522576.0,177424.0,60132.0,507144.0,132724.0,-22015.0,110709.0,,,110709.0,-60507.0,,50202.0,110709.0,,0.0,50202.0,,0.0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高銀
2838,1447061.0,912000.0,-50563.0,1611662.0,797962.0,-98953.0,699009.0,,,699009.0,217556.0,,916565.0,694017.0,,4992.0,911573.0,,4992.0,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,聯邦銀行
2845,1149743.0,1178728.0,-151809.0,1441027.0,1039253.0,-128876.0,910377.0,,,910377.0,-3569.0,,906808.0,910377.0,,,906808.0,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,遠東商銀
2849,1000367.0,881908.0,-41038.0,799714.0,1123599.0,-310558.0,813041.0,0.0,,813041.0,-203040.0,,610001.0,813041.0,,0.0,610001.0,,0.0,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安泰銀行
2855,,,,,,,,,,,,,,301349.0,,771.0,346948.0,,771.0,0.23,1169006.0,819271.0,349735.0,-16738.0,332997.0,-30877.0,302120.0,302120.0,45599.0,347719.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,統一證券
6005,,,,,,,,,,,,,,288474.0,,17271.0,378919.0,,,0.12,1365784.0,1169206.0,196578.0,157181.0,353759.0,-48014.0,305745.0,305745.0,73174.0,378919.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,群益證
6024,,,,,,,,,,,,,,43835.0,,,58847.0,,,0.48,251614.0,229765.0,21849.0,32286.0,54135.0,-10300.0,43835.0,43835.0,15012.0,58847.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,群益期
1101,,,,1097143.0,,,,,,,,,,,,,1911110.0,,1372959.0,0.38,,,,,2340789.0,,1999624.0,1999624.0,,3284069.0,,24114047.0,20990175.0,3123872.0,,,3123872.0,,2026729.0,314060.0,341165.0,1284445.0,1413035.0,586589.0,,,,,,,,,,,,,,台泥
1102,,,,552379.0,,,,,,,,,,,,,718662.0,,527859.0,0.4,,,,,1589845.0,,1371559.0,1371559.0,,1246521.0,,13931550.0,13039407.0,892143.0,0.0,37.0,892180.0,,339801.0,1250044.0,218286.0,-125038.0,1213452.0,158107.0,,,,,,,,,,,,,,亞泥
1103,,,,104906.0,,,,,,,,,,,,,28882.0,,-16575.0,0.13,,,,,33802.0,,59637.0,59637.0,,12307.0,,741189.0,786094.0,-44905.0,,,-44905.0,,-149811.0,183613.0,-25835.0,-47330.0,82329.0,-22692.0,,,,,,,,,,,,,,嘉泥
1104,,,,91813.0,,,,,,,,,,,,,476706.0,,2269.0,0.3,,,,,186259.0,,183441.0,183441.0,,478975.0,,1248072.0,1126012.0,122060.0,,,122060.0,,30247.0,156012.0,2818.0,295534.0,181173.0,2268.0,,,,,,,,,,,,,,環球水泥
1108,,,,53588.0,,,,0.0,,,,,,,,,79103.0,,-6656.0,0.17,,,,,84611.0,,63869.0,63869.0,,72447.0,,1203671.0,1051860.0,151811.0,0.0,0.0,151811.0,0.0,98223.0,-13612.0,20742.0,8578.0,69554.0,-5685.0,,,,,,,,,,,,,,幸福水泥
1109,,,,90360.0,,,,0.0,,,,,,,,,85214.0,,-2576.0,0.09,,,,,43634.0,,35090.0,35090.0,,82638.0,,916242.0,789963.0,126279.0,0.0,0.0,126279.0,,35919.0,7715.0,8544.0,47548.0,37666.0,-2576.0,,,,,,,,,,,,,,信大水泥
1110,,,,14802.0,,,,,,,,,,,,,181938.0,,295.0,0.11,,,,,59501.0,,61097.0,61097.0,,182233.0,,460227.0,393630.0,66597.0,,,66597.0,,51795.0,7706.0,-1596.0,121136.0,60801.0,296.0,,,,,,,,,,,,,,東泥
1201,,,,1797632.0,,,,,,,,,,,,,390218.0,,-46069.0,0.58,,,,,351657.0,,247114.0,247114.0,,344149.0,,6700847.0,4526429.0,2174418.0,,,2174418.0,,376786.0,-25129.0,104543.0,97035.0,293183.0,-46069.0,,,,,,,,,,,,,,味全公司
1203,,,,205433.0,,,,0.0,,,,,,,,,146650.0,,77373.0,0.35,,,,,141538.0,,120200.0,120200.0,,224023.0,,1643325.0,1305256.0,338069.0,0.0,0.0,338069.0,,132636.0,8902.0,21338.0,103823.0,83740.0,36460.0,,,,,,,,,,,,,,味王公司
1210,,,,1687988.0,,,,,,,,,,,,,440629.0,,146435.0,0.45,,,,,338083.0,,291215.0,291215.0,,587064.0,,21357129.0,19418268.0,1938861.0,,,1938861.0,,250873.0,87210.0,46868.0,295849.0,237726.0,53489.0,,,,,,,,,,,,,,大成長城
1213,,,,18082.0,,,,,,,,,,,,,8951.0,,,0.17,,,,,11210.0,,8902.0,8902.0,,8951.0,,174683.0,144937.0,29746.0,,,29746.0,,11664.0,-454.0,2308.0,49.0,8902.0,,,,,,,,,,,,,,,大飲
1215,,,,287088.0,,,,,,,,,,,,,170827.0,,-910.0,0.31,,,,,89154.0,,68825.0,68825.0,,169917.0,,4380233.0,3999863.0,380370.0,,,380370.0,4700.0,97982.0,-8828.0,20329.0,101092.0,71984.0,-3159.0,,,,,,,,,,,,,,卜蜂企業
1216,,,,27047549.0,,,,,,,,,,,,,5063518.0,,2396034.0,0.75,,,,,6982144.0,,5739800.0,5739800.0,,7459552.0,,104634790.0,71828145.0,32806645.0,,,32806645.0,,5759096.0,1223048.0,1242344.0,1719752.0,3639790.0,2100010.0,,,,,,,,,,,,,,統一
1217,,,,291457.0,,,,,,,,,,,,,29708.0,,-2004.0,0.04,,,,,27078.0,,12780.0,12780.0,,27704.0,,886485.0,607228.0,279257.0,,,279257.0,,-12200.0,39278.0,14298.0,14924.0,17516.0,-4736.0,,,,,,,,,,,,,,愛之味
1218,,,,289035.0,,,,,,,,,,,,,10629.0,,870.0,-0.01,,,,,-624.0,,-892.0,-892.0,,11499.0,,2371390.0,2090365.0,281025.0,17.0,-243.0,280765.0,,-8270.0,7646.0,268.0,12391.0,-1762.0,870.0,,,,,,,,,,,,,,泰山企業
1219,,,,138950.0,,,,,,,,,,,,,-33080.0,,-1488.0,-0.11,,,,,-34759.0,,-34655.0,-34655.0,,-34568.0,,2342164.0,2243553.0,98611.0,,,98611.0,,-40339.0,5580.0,-104.0,87.0,-33147.0,-1508.0,,,,,,,,,,,,,,福壽實業
1220,,,,57838.0,,,,,,,,,,,,,17561.0,,10824.0,0.12,,,,,32738.0,,32045.0,32045.0,,28385.0,,810335.0,726907.0,83428.0,0.0,0.0,83428.0,,25590.0,7148.0,693.0,-3660.0,21013.0,11032.0,,,,,,,,,,,,,,台榮
1225,,,,119451.0,,,,,,,,,,,,,33405.0,,-777.0,0.13,,,,,30421.0,,24293.0,24293.0,,32628.0,,3388530.0,3230847.0,157683.0,413.0,,157270.0,24.0,37843.0,-7422.0,6128.0,8335.0,25070.0,-777.0,,,,,,,,,,,,,,福懋油
1227,,,,832989.0,,,,,,,,,,,,,799617.0,,-991.0,1.23,,,,,842243.0,,699669.0,699669.0,,798626.0,,5076330.0,3494148.0,1582182.0,,,1582182.0,,749193.0,93050.0,142574.0,98957.0,700663.0,-994.0,,,,,,,,,,,,,,佳格
1229,,,,94053.0,,,,,,,,,,,,,573814.0,,-1094.0,0.27,,,,,232213.0,,229649.0,229649.0,,572720.0,,1254001.0,1121907.0,132094.0,,,132094.0,,38041.0,194172.0,2564.0,343071.0,233515.0,-3866.0,,,,,,,,,,,,,,聯華實業
1231,,,,287590.0,,,,,,,,,,,,,115006.0,,1312.0,0.91,,,,,134172.0,,111496.0,111496.0,,116318.0,,1482501.0,1077644.0,404857.0,,,404857.0,,117267.0,16905.0,22676.0,4822.0,111987.0,-491.0,,,,,,,,,,,,,,聯華食品
1232,,,,122421.0,,,,,,,,,,,,,214390.0,,1609.0,1.32,,,,,259595.0,,212608.0,212608.0,,215999.0,,4882485.0,4549712.0,332773.0,,,332773.0,,210352.0,49243.0,46987.0,3391.0,210999.0,1609.0,,,,,,,,,,,,,,大統益
