Season,Created_at
2013-1 - 營益分析彙總表,2019-09-23 09:33:01.775916
2013-2 - 營益分析彙總表,2019-09-23 09:33:44.616255
2013-3 - 營益分析彙總表,2019-09-23 09:34:19.087347
2013-4 - 營益分析彙總表,2019-09-23 09:34:56.626533
2014-1 - 營益分析彙總表,2019-09-23 09:35:40.476101
2014-2 - 營益分析彙總表,2019-09-23 09:36:21.643253
2014-3 - 營益分析彙總表,2019-09-23 09:36:56.121134
2014-4 - 營益分析彙總表,2019-09-23 09:37:36.329570
2015-1 - 營益分析彙總表,2019-09-23 09:38:14.772973
2015-2 - 營益分析彙總表,2019-09-23 09:39:04.541930
2015-3 - 營益分析彙總表,2019-09-23 09:39:42.293628
2015-4 - 營益分析彙總表,2019-09-23 09:40:30.848076
2016-1 - 營益分析彙總表,2019-09-23 09:41:20.741953
2016-2 - 營益分析彙總表,2019-09-23 09:42:18.727135
2016-3 - 營益分析彙總表,2019-09-23 09:42:55.225094
2016-4 - 營益分析彙總表,2019-09-23 09:43:55.601522
2017-1 - 營益分析彙總表,2019-09-23 09:44:29.118422
2017-2 - 營益分析彙總表,2019-09-23 09:45:16.219383
2017-3 - 營益分析彙總表,2019-09-23 09:46:11.928382
2017-4 - 營益分析彙總表,2019-09-23 09:47:02.997954
2018-1 - 營益分析彙總表,2019-09-23 09:47:35.197969
2018-2 - 營益分析彙總表,2019-09-23 09:48:28.314308
2018-3 - 營益分析彙總表,2019-09-23 09:49:29.109969
2018-4 - 營益分析彙總表,2019-09-23 09:50:03.769444
2019-1 - 營益分析彙總表,2019-09-23 09:50:23.243787
2019-2 - 營益分析彙總表,2019-09-23 09:50:49.103356
2013-1 - 綜合損益彙總表,2019-09-23 09:59:51.414859
2013-1 - 資產負債彙總表,2019-09-23 10:00:03.413827
2013-2 - 綜合損益彙總表,2019-09-23 10:00:22.822398
2013-2 - 資產負債彙總表,2019-09-23 10:00:39.261104
2013-3 - 綜合損益彙總表,2019-09-23 10:00:56.703462
2013-3 - 資產負債彙總表,2019-09-23 10:01:08.281563
2013-4 - 綜合損益彙總表,2019-09-23 10:01:28.414179
2013-4 - 資產負債彙總表,2019-09-23 10:01:49.228158
2014-1 - 綜合損益彙總表,2019-09-23 10:02:07.014924
2014-1 - 資產負債彙總表,2019-09-23 10:02:26.097706
2014-2 - 綜合損益彙總表,2019-09-23 10:02:49.156059
2014-2 - 資產負債彙總表,2019-09-23 10:03:02.793952
2014-3 - 綜合損益彙總表,2019-09-23 10:03:23.214515
2014-3 - 資產負債彙總表,2019-09-23 10:03:35.853075
2014-4 - 綜合損益彙總表,2019-09-23 10:03:55.311997
2014-4 - 資產負債彙總表,2019-09-23 10:04:09.514457
2015-1 - 綜合損益彙總表,2019-09-23 10:04:27.809456
2015-1 - 資產負債彙總表,2019-09-23 10:04:44.500805
2015-2 - 綜合損益彙總表,2019-09-23 10:05:18.510944
2015-2 - 資產負債彙總表,2019-09-23 10:05:35.703853
2015-3 - 綜合損益彙總表,2019-09-23 10:05:58.215691
2015-3 - 資產負債彙總表,2019-09-23 10:06:09.692912
2015-4 - 綜合損益彙總表,2019-09-23 10:06:38.715941
2015-4 - 資產負債彙總表,2019-09-23 10:06:57.191075
2016-1 - 綜合損益彙總表,2019-09-23 10:07:15.711409
2016-1 - 資產負債彙總表,2019-09-23 10:07:26.844762
2016-2 - 綜合損益彙總表,2019-09-23 10:07:56.560931
2016-2 - 資產負債彙總表,2019-09-23 10:08:16.677623
2016-3 - 綜合損益彙總表,2019-09-23 10:08:43.683710
2016-3 - 資產負債彙總表,2019-09-23 10:08:54.198642
2016-4 - 綜合損益彙總表,2019-09-23 10:09:20.304571
2016-4 - 資產負債彙總表,2019-09-23 10:09:34.002872
2017-1 - 綜合損益彙總表,2019-09-23 10:09:52.498206
2017-1 - 資產負債彙總表,2019-09-23 10:10:04.502413
2017-2 - 綜合損益彙總表,2019-09-23 10:10:35.397124
2017-2 - 資產負債彙總表,2019-09-23 10:10:50.290528
2017-3 - 綜合損益彙總表,2019-09-23 10:11:10.182892
2017-3 - 資產負債彙總表,2019-09-23 10:11:21.125997
2017-4 - 綜合損益彙總表,2019-09-23 10:11:40.861759
2017-4 - 資產負債彙總表,2019-09-23 10:11:54.323991
2018-1 - 綜合損益彙總表,2019-09-23 10:12:05.709317
2018-1 - 資產負債彙總表,2019-09-23 10:12:15.507027
2018-2 - 綜合損益彙總表,2019-09-23 10:12:33.849778
2018-2 - 資產負債彙總表,2019-09-23 10:12:47.717191
2018-3 - 綜合損益彙總表,2019-09-23 10:13:08.367744
2018-3 - 資產負債彙總表,2019-09-23 10:13:25.163694
2018-4 - 綜合損益彙總表,2019-09-23 10:13:37.606582
2018-4 - 資產負債彙總表,2019-09-23 10:13:51.411933
2019-1 - 綜合損益彙總表,2019-09-23 10:13:57.799107
2019-1 - 資產負債彙總表,2019-09-23 10:14:09.421564
2019-2 - 綜合損益彙總表,2019-09-23 10:14:24.040375
2019-2 - 資產負債彙總表,2019-09-23 10:14:33.813177
